基金代碼,基金中文名稱,基金英文名稱,幣別,ISINCODE,總代理機構代碼,總代理機構名稱,境外基金機構代碼,境外基金機構名稱,基金狀態
="2120CD",景順日本小型企業基金C-年配息股 美元,Invesco Nippon Small/Mid Cap Equity Fund C-AD USD,USD,="LU0607522579",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2123A7",景順全歐洲企業基金A(美元對沖)股 美元,Invesco Pan European Small Cap Equity Fund A (USD Hgd) USD,USD,="LU1097691858",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2123AA",景順全歐洲企業基金A股 歐元,Invesco Pan European Small Cap Equity Fund A EUR,EUR,="LU0028119013",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2123AD",景順全歐洲企業基金 A-年配息股 美元,Invesco Pan European Small Cap Equity Fund A-AD USD,USD,="LU0334858676",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2123BB",景順全歐洲企業基金B股 歐元,Invesco Pan European Small Cap Equity Fund B EUR,EUR,="LU0130710477",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2123C7",景順全歐洲企業基金C(美元對沖)股 美元,Invesco Pan European Small Cap Equity Fund C (USD Hgd) USD,USD,="LU1097691932",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2123CC",景順全歐洲企業基金C股 歐元,Invesco Pan European Small Cap Equity Fund C EUR,EUR,="LU0100598019",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2126A7",景順泛歐洲基金 A(美元對沖)股 美元,Invesco Pan European Equity Fund A(USD Hgd) USD,USD,="LU1075211869",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2126AA",景順泛歐洲基金A股 歐元,Invesco Pan European Equity Fund A EUR,EUR,="LU0028118809",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2126AD",景順泛歐洲基金A-年配息股 美元,Invesco Pan European Equity  Fund A-AD USD,USD,="LU0334858593",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
